code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
567043,Bečov,1 286,489,486,29,2,0,42,12,66,2,5,5,1,1,18,0,8,211,0,3,5,0,0,0,1,74,1
567051,Bělušice,626,223,223,24,2,0,15,6,25,3,12,3,1,3,17,0,2,70,1,2,3,0,1,0,6,19,8
567060,Braňany,974,478,474,28,1,0,23,8,75,12,9,2,3,1,26,0,3,201,1,4,0,0,4,0,1,71,1
567078,Brandov,202,120,120,10,0,0,4,2,15,4,1,2,0,1,10,0,2,54,0,1,0,0,0,0,2,12,0
567108,Český Jiřetín,78,57,57,5,0,0,5,6,5,0,0,0,0,0,7,0,2,19,0,0,1,0,0,0,0,7,0
567141,Havraň,480,262,260,7,0,1,46,3,23,1,1,6,0,0,13,0,7,96,0,2,2,0,1,1,2,47,1
567167,Hora Svaté Kateřiny,361,220,219,22,1,0,12,16,17,9,0,1,0,0,22,0,9,83,0,1,2,0,0,0,1,23,0
567175,Horní Jiřetín,1 728,879,873,60,4,1,48,27,79,73,5,11,2,1,47,0,27,365,0,1,6,0,8,0,6,99,3
567191,Klíny,118,78,78,8,0,0,7,8,6,0,0,0,0,1,6,0,5,28,0,0,0,0,1,0,0,8,0
567221,Korozluky,158,118,118,16,1,0,8,7,12,2,0,0,0,0,13,0,2,39,0,0,2,0,0,0,0,16,0
567248,Lišnice,169,85,83,11,0,0,10,2,12,3,0,0,0,0,10,0,1,25,0,1,0,0,0,0,0,8,0
567256,Litvínov,19 357,9 095,9 045,724,25,16,611,474,1 038,168,44,113,4,12,618,10,278,3 556,4,27,112,1,48,7,34,1 087,34
567264,Lom,2 971,1 526,1 516,135,2,0,100,49,179,24,4,12,0,3,106,2,51,515,1,6,15,0,10,2,12,213,75
567272,Louka u Litvínova,578,288,285,19,2,0,21,12,32,3,4,2,0,2,19,0,8,103,0,1,2,0,3,0,1,47,4
567281,Lužice,426,285,283,27,0,0,16,7,26,5,0,3,0,0,24,5,12,115,0,3,5,0,0,0,3,31,1
567299,Malé Březno,180,104,104,8,1,0,4,5,8,2,0,3,0,0,2,0,1,41,0,0,3,0,0,0,3,22,1
567302,Mariánské Radčice,346,198,197,9,0,1,10,7,48,2,0,2,0,0,14,0,5,79,0,0,0,1,0,1,1,17,0
567311,Meziboří,3 903,2 066,2 045,118,3,0,188,113,229,33,21,29,3,3,131,3,35,776,1,11,29,0,14,5,13,279,8
567027,Most,52 759,24 735,24 620,2 139,60,7,1 720,698,2 471,419,168,317,20,37,1 843,34,748,9 832,7,100,246,11,143,26,150,3 345,79
567329,Nová Ves v Horách,399,219,217,15,1,0,20,13,31,5,6,9,0,1,16,0,6,55,1,2,2,0,4,0,3,25,2
567337,Obrnice,1 596,493,493,94,5,0,25,3,65,5,9,3,0,0,21,0,9,165,0,6,3,0,5,0,4,71,0
567345,Patokryje,373,233,231,34,1,0,14,7,22,2,2,5,0,1,13,1,5,92,0,0,3,0,2,0,1,25,1
567353,Polerady,191,115,115,10,1,0,10,8,13,1,1,5,0,0,4,0,4,42,1,0,3,0,0,0,1,11,0
567361,Skršín,199,136,135,11,0,0,8,6,13,3,0,2,0,1,5,1,8,55,0,2,4,0,0,0,1,15,0
546437,Volevčice,88,52,52,13,0,0,3,0,7,0,0,1,0,0,2,0,1,20,0,0,0,0,0,0,0,5,0
567426,Želenice,418,232,231,18,2,0,10,4,19,7,1,4,2,0,16,0,2,103,0,2,0,0,0,0,4,37,0
